Datetime,chan0,chan1,chan2,chan3
2020-11-15 21:42:15.208,1.696802,1.732178,1.742178,1.733928
2020-11-15 21:42:15.222,1.695302,1.725803,1.739053,1.733053
2020-11-15 21:42:15.237,1.697802,1.728428,1.734303,1.733303
2020-11-15 21:42:15.251,1.697302,1.732428,1.737928,1.733553
2020-11-15 21:42:15.265,1.694677,1.730178,1.739803,1.734303
2020-11-15 21:42:15.279,1.695927,1.728678,1.731803,1.733428
2020-11-15 21:42:15.294,1.697052,1.732553,1.734428,1.732803
2020-11-15 21:42:15.308,1.695302,1.731803,1.740178,1.733678
2020-11-15 21:42:15.322,1.695052,1.727178,1.738178,1.733928
2020-11-15 21:42:15.337,1.697177,1.728678,1.734803,1.732928
2020-11-15 21:42:15.351,1.696052,1.731428,1.740678,1.732428
2020-11-15 21:42:15.365,1.695677,1.729178,1.739803,1.734053
2020-11-15 21:42:15.379,1.695802,1.727678,1.734053,1.733428
2020-11-15 21:42:15.394,1.696052,1.733803,1.735928,1.733053
2020-11-15 21:42:15.408,1.695052,1.732053,1.739678,1.733178
2020-11-15 21:42:15.422,1.695177,1.728053,1.735053,1.733678
2020-11-15 21:42:15.436,1.697177,1.729303,1.735053,1.732928
2020-11-15 21:42:15.451,1.696552,1.731803,1.743303,1.734053
2020-11-15 21:42:15.465,1.695302,1.726428,1.739428,1.733803
2020-11-15 21:42:15.479,1.696427,1.728178,1.732928,1.732928
2020-11-15 21:42:15.493,1.696177,1.732178,1.737053,1.733053
2020-11-15 21:42:15.508,1.694427,1.730803,1.739053,1.733928
2020-11-15 21:42:15.522,1.695052,1.727678,1.735428,1.733428
2020-11-15 21:42:15.536,1.696302,1.731678,1.734803,1.732678
2020-11-15 21:42:15.550,1.696177,1.731303,1.743303,1.733178
2020-11-15 21:42:15.565,1.694677,1.726678,1.739178,1.734053
2020-11-15 21:42:15.579,1.697302,1.728178,1.734428,1.733053
2020-11-15 21:42:15.593,1.696302,1.733053,1.736803,1.732428
2020-11-15 21:42:15.607,1.694427,1.729803,1.739678,1.733678
2020-11-15 21:42:15.622,1.695177,1.728178,1.732678,1.733678
2020-11-15 21:42:15.636,1.696677,1.731053,1.734178,1.733428
2020-11-15 21:42:15.650,1.695427,1.731053,1.740178,1.733053
2020-11-15 21:42:15.667,1.694927,1.730678,1.739178,1.734553
2020-11-15 21:42:15.683,1.695302,1.727053,1.738803,1.733678
2020-11-15 21:42:15.700,1.696427,1.727803,1.732178,1.734053
2020-11-15 21:42:15.716,1.696552,1.729553,1.734553,1.732428
2020-11-15 21:42:15.733,1.696302,1.731553,1.735803,1.733303
2020-11-15 21:42:15.749,1.695302,1.731803,1.740803,1.733803
2020-11-15 21:42:15.766,1.695177,1.729553,1.739428,1.734178
2020-11-15 21:42:15.783,1.694677,1.725928,1.738803,1.733303
2020-11-15 21:42:15.801,1.696677,1.728303,1.732303,1.733553
2020-11-15 21:42:15.818,1.697052,1.728428,1.734178,1.733303
2020-11-15 21:42:15.835,1.696802,1.732803,1.735178,1.732553
2020-11-15 21:42:15.852,1.696677,1.731553,1.740178,1.733178
2020-11-15 21:42:15.869,1.694677,1.730678,1.740553,1.733428
2020-11-15 21:42:15.886,1.695427,1.727053,1.739553,1.734553
2020-11-15 21:42:15.903,1.696052,1.728553,1.738053,1.734678
2020-11-15 21:42:15.920,1.696927,1.728053,1.731303,1.733803
2020-11-15 21:42:15.937,1.696302,1.730303,1.734553,1.733178
2020-11-15 21:42:15.954,1.696302,1.732303,1.734803,1.733678
2020-11-15 21:42:15.971,1.695677,1.732053,1.740178,1.733303
2020-11-15 21:42:15.988,1.695802,1.731178,1.739803,1.733428
2020-11-15 21:42:16.006,1.695177,1.726303,1.739428,1.733803
2020-11-15 21:42:16.023,1.695927,1.727678,1.733428,1.733178
2020-11-15 21:42:16.040,1.697302,1.727428,1.734928,1.733928
2020-11-15 21:42:16.057,1.696802,1.730928,1.734928,1.733053
2020-11-15 21:42:16.074,1.696552,1.732428,1.737053,1.732678
2020-11-15 21:42:16.091,1.694427,1.732303,1.741928,1.733553
2020-11-15 21:42:16.108,1.694677,1.728553,1.739928,1.733803
2020-11-15 21:42:16.125,1.695177,1.727678,1.739303,1.733553
2020-11-15 21:42:16.142,1.696052,1.728678,1.732178,1.734178
2020-11-15 21:42:16.159,1.697177,1.729178,1.735178,1.733803
2020-11-15 21:42:16.176,1.696427,1.733553,1.735303,1.732928
2020-11-15 21:42:16.193,1.696427,1.731928,1.741303,1.732928
2020-11-15 21:42:16.210,1.695427,1.731803,1.740178,1.732928
2020-11-15 21:42:16.227,1.695677,1.727303,1.740178,1.733678
2020-11-15 21:42:16.244,1.696052,1.728678,1.736553,1.733428
2020-11-15 21:42:16.261,1.697052,1.728303,1.733053,1.733803
2020-11-15 21:42:16.278,1.697052,1.732678,1.734803,1.732928
2020-11-15 21:42:16.296,1.696927,1.732053,1.735553,1.733178
2020-11-15 21:42:16.313,1.695802,1.731428,1.742428,1.733303
2020-11-15 21:42:16.330,1.694302,1.730053,1.739178,1.734303
2020-11-15 21:42:16.347,1.694927,1.726053,1.738803,1.734053
2020-11-15 21:42:16.364,1.696427,1.728553,1.732928,1.734053
2020-11-15 21:42:16.381,1.696927,1.728428,1.734178,1.732803
2020-11-15 21:42:16.398,1.696802,1.732303,1.734803,1.732803
2020-11-15 21:42:16.415,1.697302,1.731428,1.739303,1.732928
2020-11-15 21:42:16.432,1.694927,1.731803,1.740303,1.733803
2020-11-15 21:42:16.449,1.695427,1.727428,1.740303,1.734303
2020-11-15 21:42:16.466,1.695427,1.728553,1.738553,1.732803
2020-11-15 21:42:16.490,1.695552,1.730553,1.739803,1.734428
2020-11-15 21:42:16.508,1.695302,1.725428,1.740053,1.733303
2020-11-15 21:42:16.525,1.695677,1.728553,1.734928,1.734553
2020-11-15 21:42:16.542,1.697677,1.729053,1.733553,1.733678
2020-11-15 21:42:16.559,1.696677,1.732803,1.734803,1.733053
2020-11-15 21:42:16.576,1.696427,1.732053,1.738053,1.732803
2020-11-15 21:42:16.593,1.695927,1.731928,1.740428,1.733678
2020-11-15 21:42:16.609,1.695427,1.727803,1.740053,1.734428
2020-11-15 21:42:16.626,1.696052,1.728928,1.735428,1.734303
2020-11-15 21:42:16.642,1.697552,1.727803,1.734678,1.733553
2020-11-15 21:42:16.659,1.696552,1.733803,1.735803,1.733428
2020-11-15 21:42:16.675,1.696052,1.731303,1.741928,1.733553
2020-11-15 21:42:16.692,1.695552,1.731053,1.740178,1.733428
2020-11-15 21:42:16.709,1.695177,1.727303,1.739928,1.734053
2020-11-15 21:42:16.726,1.696302,1.728053,1.736303,1.733178
2020-11-15 21:42:16.743,1.697177,1.728303,1.733928,1.733678
2020-11-15 21:42:16.761,1.697427,1.732678,1.735178,1.733053
2020-11-15 21:42:16.778,1.697052,1.732553,1.735928,1.734178
2020-11-15 21:42:16.795,1.696302,1.731553,1.742303,1.733303
2020-11-15 21:42:16.812,1.695177,1.730678,1.739803,1.734303
2020-11-15 21:42:16.829,1.695427,1.726178,1.739553,1.734303
